dom1     dom2     J_plm                known_interaction
PF01134  PF13932  0.5717017406408871   1
PF03720  PF03721  0.570086254881659    1
PF02836  PF02837  0.5670849990133122   1
PF00146  PF00361  0.5665101070856366   1
PF01087  PF02744  0.5556661732912527   1
PF01968  PF05378  0.545186629897832    1
PF00420  PF00499  0.5432472824792272   1
PF09103  PF09169  0.5424691152731116   1
PF00115  PF02790  0.5362969937646566   1
PF12325  PF12329  0.5345402307441947   1
PF00174  PF03404  0.5319107552403515   1
PF00032  PF00119  0.5306355562951979   0
PF01149  PF06831  0.515715944563978    1
PF00507  PF00510  0.5149722976276697   1
PF00032  PF00116  0.5129631907204353   0
PF00116  PF00146  0.507829759270841    0
PF00499  PF00662  0.5066834459530279   1
PF01968  PF02538  0.5053713109057196   1
PF14791  PF14792  0.5042492761310504   1
PF02733  PF02734  0.503284531909896    1
PF00499  PF00510  0.5024634222999571   0
PF10588  PF13510  0.5024340509059853   1
PF00116  PF00119  0.4993484327033279   0
PF04446  PF14413  0.4971855664874073   1
PF00119  PF02790  0.49377315815        0
PF00199  PF06628  0.49168648242448587  1
PF05127  PF13718  0.49156814414556604  1
PF05127  PF08351  0.4893896914976201   1
PF00499  PF02790  0.4865245991814955   0
PF00146  PF00510  0.4858815432501682   0
PF10391  PF14792  0.48542552034404457  1
PF00115  PF00361  0.48483646970307276  1
PF00115  PF00146  0.48324791306712855  0
PF00732  PF05199  0.48140670133933183  1
PF00361  PF00662  0.47892628847060914  1
PF02689  PF05970  0.47553917238113547  1
PF00499  PF00507  0.4751054248620017   0
PF00146  PF00662  0.4743597836373115   0
PF04063  PF04064  0.4717328919067565   1
PF00507  PF00662  0.4700920884095672   0
PF00146  PF00499  0.46937151186199855  1
PF00033  PF00146  0.4680969084012514   1
PF02538  PF05378  0.4677586500374431   1
PF03542  PF11864  0.46670547649929633  1
PF03200  PF16923  0.4655400371421737   1
PF00361  PF00420  0.46532831266190905  1
PF00116  PF00361  0.4644295321659822   1
PF13236  PF15044  0.460587879305641    1
PF00361  PF00510  0.45573818230054486  1
PF09371  PF16921  0.45523658098339037  1
PF03453  PF03454  0.45369662796767884  1
PF14701  PF14702  0.45369058601738177  1
PF13167  PF16360  0.4533633624110513   1
