dom1     dom2     Meff                DCA_score
PF00384  PF06463  133.66481767230698  .09756491845431797
PF02452  PF02604  630.7385029257114   .13851572394991002
PF01844  PF07510  285.00198906765524  .1378525412752437
PF02595  PF05651  221.22763876392938  .14568453534497244
PF01695  PF04893  176.99133012505746  .10743633654803825
PF00939  PF01293  279.5890103167859   .0944884635335467
PF00374  PF00708  172.41139431635185  .10350095792605848
PF01923  PF02310  282.07353005165794  .14989676336012364
PF03841  PF09163  55.68568822070974   .15274160245365498
PF04809  PF11939  61.75               .11609020540491435
PF00490  PF00745  485.9438723828306   .17041475200258815
PF02646  PF03880  217.8512954780779   .14396735562128057
PF05137  PF07963  358.5937605077797   .2827338751688566
PF05872  PF11700  176.04301279551206  .12100510810746752
PF12167  PF14659  73.44999999999999   .1909260626998364
PF00490  PF03900  676.9153367326202   .20902486364914263
PF06224  PF12852  145.39939824996804  .08656222841633027
PF00962  PF01112  156.00761609129384  .09975970731226594
PF00310  PF00909  388.0578819614029   .12027068508062422
PF03601  PF06779  157.12234952148745  .09817314192024983
PF00920  PF10369  392.5782177288766   .14574116795984063
PF02872  PF03706  702.7387235442623   .10095490293103661
PF00034  PF00355  920.8178064709857   .187430693947647
PF00350  PF04307  214.52076548382445  .1066554257074235
PF03352  PF11798  506.89682032586757  .19092671862741728
PF03724  PF04170  191.0609804797886   .16333630465386595
PF01909  PF02237  626.7210753080045   .2210881362405514
PF05872  PF07411  135.4894114234196   .12571851281792423
PF01235  PF02350  504.8692566091849   .11727139353896796
PF03641  PF12710  477.6661220327838   .11784189765940795
PF03808  PF04230  519.7631859941198   .0991410822808264
PF02016  PF02583  399.0437524091766   .12947543826738722
PF02837  PF04616  371.5059186870196   .09696725661258607
PF06754  PF12974  90.08792015147631   .13147982289958499
PF02606  PF03279  453.0740167031601   .11331482438517758
PF04343  PF05016  307.00403221587317  .13573580659846804
PF01967  PF03473  556.9943101386734   .16572718980922585
PF01075  PF04413  368.11653398015966  .123429307688913
PF04471  PF08534  350.17286883021717  .10801574512573082
PF01293  PF02657  189.50209097343838  .12711299510235613
PF01095  PF04295  137.17339404614074  .10346483938200718
PF04754  PF05016  149.1739247692829   .09526633772087018
PF01661  PF02652  151.44713427790012  .10515167800929812
PF01071  PF13507  477.92936769281584  .14734445945954122
PF00285  PF00330  231.07381935584834  .08340600976426611
PF00324  PF04286  185.6969537378836   .07627309393700832
PF13401  PF13458  512.8948654172634   .09578800516572383
PF04266  PF13599  268.7767981999331   .15466273872779063
PF03601  PF04307  228.9518288731568   .1228354341920453
